ToxPi Score,HClust Group,KMeans Group,Name,FIPS,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
0.520695701,10,10,"Alabama, Autauga",1001,"-86.6441,32.5395",0.573993164,0.021153846,0.575494546,0.3741,1,0.648130746,0.563653271,0.520958084,0.501650799,0.362432017,0.260554666,0.512324603
0.485286203,8,10,"Alabama, Baldwin",1003,"-87.7221,30.7277",0.447716895,0.009075987,0.59207546,0.3359,1,0.648130746,0.534157959,0.437125749,0.609505176,0.325043019,0.203905628,0.51280713
0.594674121,8,8,"Alabama, Barbour",1005,"-85.3871,31.8683",0.51969835,0.017613386,0.543279402,0.9889,0.75,0.648130746,0.67879397,0.508982036,0.579673914,0.556275822,0.656229309,0.430217482
0.527397719,3,8,"Alabama, Bibb",1007,"-87.1251,32.9964",0.439566327,0.00702302,0.498930922,0.7189,0.75,0.648130746,0.563161735,0.491017964,0.542700409,0.49039775,0.531989399,0.509630467
0.501085181,10,10,"Alabama, Blount",1009,"-86.5679,33.9821",0.488524899,0.01087456,0.537340407,0.1741,1,0.648130746,0.350140876,0.520958084,0.575509717,0.479311875,0.446227699,0.610191676
0.536044815,8,8,"Alabama, Bullock",1011,"-85.7127,32.1003",0.474266236,0.00902379,0.403066648,0.765,0.5,0.648130746,0.736129319,0.491017964,0.526341402,0.612118387,0.656935761,0.343284942
0.53699064,8,8,"Alabama, Butler",1013,"-86.6806,31.753",0.492485327,0.011731581,0.478257546,0.6259,0.675,0.648130746,0.619039345,0.45508982,0.599824325,0.637736455,0.550440119,0.371771063
0.55840777,8,8,"Alabama, Calhoun",1015,"-85.8263,33.7748",0.457233572,0.007456446,0.617999702,0.6492,1,0.648130746,0.581702062,0.526946108,0.553960836,0.543051996,0.527100793,0.370385464
0.537320738,3,8,"Alabama, Chambers",1017,"-85.3907,32.9136",0.435153735,0.007394767,0.503010222,0.7943,0.75,0.648130746,0.588660752,0.502994012,0.597857609,0.55082444,0.482677145,0.412945145
0.475534974,8,9,"Alabama, Cherokee",1019,"-85.6064,34.1781",0.40113481,0.008210181,0.503473889,0.2741,0.75,0.648130746,0.451124735,0.502994012,0.649345108,0.466386832,0.460854275,0.461670934
0.521898329,8,9,"Alabama, Chilton",1021,"-86.7173,32.8504",0.492302509,0.013612056,0.521503368,0.3636,0.825,0.648130746,0.516869866,0.491017964,0.531089133,0.514602136,0.559340714,0.630025778
0.496048411,8,9,"Alabama, Choctaw",1023,"-88.2656,32.0223",0.330061203,0.006802721,0.450471105,0.5775,0.675,0.648130746,0.54676034,0.425149701,0.656152454,0.548063498,0.603575547,0.482494766
0.450823976,3,3,"Alabama, Clarke",1025,"-87.8355,31.681",0,0,0.517617384,0.7345,0.675,0.648130746,0.650204139,0.443113772,0.599824325,0.545218117,0.617561314,0.408259797
0.484658603,10,9,"Alabama, Clay",1027,"-85.8584,33.2698",0.486411067,0.01065956,0.495045081,0.1579,0.675,0.648130746,0.543585144,0.45508982,0.615195238,0.486502079,0.553388131,0.414077701
0.449504061,8,9,"Alabama, Cleburne",1029,"-85.5201,33.6768",0.439151802,0.008179959,0.500499765,0.1,0.75,0.648130746,0.3870826,0.479041916,0.595880459,0.448752984,0.607442806,0
0.495883935,8,10,"Alabama, Coffee",1031,"-85.989,31.3993",0.440359788,0.007733382,0.557209236,0.1923,1,0.648130746,0.653709025,0.473053892,0.542700409,0.410500102,0.390938397,0.450482443
0.493888137,8,10,"Alabama, Colbert",1033,"-87.8017,34.6985",0.469465024,0.009143407,0.579200643,0.1025,1,0.648130746,0.576094777,0.461077844,0.605662958,0.433319441,0.423711336,0.331339417
0.502505936,8,9,"Alabama, Conecuh",1035,"-86.9932,31.434",0.415346735,0.007305936,0.478906496,0.213,0.675,0.648130746,0.650535401,0.437125749,0.647623665,0.643309478,0.659110224,0.373125281
0.502180056,10,2,"Alabama, Coosa",1037,"-86.2485,32.9369",0.61990061,0.041247485,0.460369687,0.2913,0.5,0.648130746,0.626811272,0.479041916,0.651058637,0.593715842,0.456447336,0
0.496591298,8,9,"Alabama, Covington",1039,"-86.4505,31.2478",0.393793616,0.004916421,0.519262483,0.4702,0.75,0.648130746,0.556552135,0.449101796,0.62814365,0.449678788,0.567002444,0.364753852
0.391071392,1,3,"Alabama, Crenshaw",1041,"-86.3159,31.7294",0,0,0.510666393,0.2353,0.675,0.648130746,0.606202286,0.461077844,0.58583425,0.495279261,0.484046933,0.373709381
0.519384773,8,10,"Alabama, Cullman",1043,"-86.8689,34.1302",0.486903622,0.010623751,0.568014348,0.3945,1,0.648130746,0.330901264,0.51497006,0.579673914,0.493260482,0.492029734,0.496516378
0.488503251,8,9,"Alabama, Dale",1045,"-85.611,31.4304",0.281299127,0.002092488,0.557010921,0.455,0.825,0.648130746,0.616891024,0.479041916,0.538099217,0.48907586,0.548272801,0.490948176
0.521644045,3,8,"Alabama, Dallas",1047,"-87.1087,32.3269",0.268419106,0.001985816,0.539203096,0.8392,0.675,0.648130746,0.637056355,0.48502994,0.553960836,0.634708405,0.647582687,0.377275654
0.508182325,8,9,"Alabama, DeKalb",1049,"-85.8078,34.4595",0.436787633,0.006392694,0.562061905,0.4779,0.825,0.648130746,0.455641786,0.497005988,0.542700409,0.417730035,0.587444989,0.486995548
0.489560811,3,9,"Alabama, Elmore",1051,"-86.1442,32.5979",0.307589684,0.002096227,0.569284337,0.5177,1,0.648130746,0.579620442,0.532934132,0.499089333,0.416614297,0.335964473,0.500300096
0.555575437,8,8,"Alabama, Escambia",1053,"-87.1592,31.1257",0.471709425,0.009992314,0.516060354,0.5839,0.75,0.648130746,0.805150228,0.431137725,0.564890998,0.583345831,0.678847285,0.397920148
0.505409603,8,9,"Alabama, Etowah",1055,"-86.0405,34.0457",0.369711992,0.003285631,0.624323699,0.2904,1,0.648130746,0.565031832,0.508982036,0.58583425,0.497030756,0.501338723,0.341250388
0.530019035,8,2,"Alabama, Fayette",1057,"-87.7389,33.7208",0.517852969,0.012416428,0.496663349,0.5454,0.75,0.648130746,0.515372659,0.45508982,0.62814365,0.555397124,0.528762464,0.402874984
0.49966011,8,9,"Alabama, Franklin",1059,"-87.8429,34.4424",0.412849569,0.004751722,0.529303523,0.5275,0.75,0.648130746,0.522703674,0.449101796,0.540406913,0.445812113,0.601241457,0.394102736
0.478829572,8,9,"Alabama, Geneva",1061,"-85.8357,31.0939",0.311822034,0.002843217,0.525688427,0.2716,0.75,0.648130746,0.566329198,0.45508982,0.607589018,0.519163352,0.649319569,0.422965662
0.553158121,8,8,"Alabama, Greene",1063,"-87.9568,32.855",0.46151916,0.008752735,0.474832675,0.9554,0.5,0.648130746,0.660685061,0.449101796,0.626321192,0.529804078,0.684433744,0.455185896
0.547078223,8,8,"Alabama, Hale",1065,"-87.6328,32.7604",0.474424492,0.007319305,0.497040609,0.9347,0.5,0.648130746,0.605620029,0.467065868,0.58583425,0.578680725,0.609419371,0.444530621
0.451854877,8,9,"Alabama, Henry",1067,"-85.2427,31.5115",0.402108801,0.005316321,0.495422897,0.2713,0.575,0.648130746,0.593451138,0.473053892,0.647623665,0.455726699,0.480546767,0
0.506552372,8,9,"Alabama, Houston",1069,"-85.2994,31.152",0.38830276,0.005188317,0.627130635,0.3502,1,0.648130746,0.605790249,0.461077844,0.556172664,0.453344357,0.487454569,0.338505052
0.475893429,8,9,"Alabama, Jackson",1071,"-85.9975,34.7814",0.342837543,0.002662722,0.51618988,0.3231,0.75,0.648130746,0.518459682,0.479041916,0.601780717,0.514058806,0.530521388,0.417919013
0.54355202,8,6,"Alabama, Jefferson",1073,"-86.8951,33.5555",0.447204928,0.007498377,0.713171576,0.6211,1,0.648130746,0.590596865,0.622754491,0.511724164,0.423600753,0.373129455,0.336861384
0.458797167,3,9,"Alabama, Lamar",1075,"-88.0967,33.78",0.347155547,0.003579098,0.488266107,0.3251,0.75,0.648130746,0.457635749,0.437125749,0.638895121,0.531484691,0.588648005,0
0.52468295,8,6,"Alabama, Lauderdale",1077,"-87.6562,34.9017",0.490136468,0.012404271,0.601104416,0.5622,1,0.648130746,0.494879671,0.479041916,0.605662958,0.379881535,0.357305192,0.397574273
0.50233559,8,9,"Alabama, Lawrence",1079,"-87.3107,34.5204",0.453973838,0.010128292,0.51112018,0.2028,0.75,0.648130746,0.743217429,0.497005988,0.567039084,0.510150681,0.494611137,0.430241767
0.541819585,8,6,"Alabama, Lee",1081,"-85.3513,32.6015",0.463460298,0.010375304,0.62923967,0.9214,1,0.648130746,0.555198728,0.54491018,0.399504763,0.296391868,0.371874724,0.484511481
0.522826858,8,10,"Alabama, Limestone",1083,"-86.9831,34.8119",0.457169684,0.009129641,0.57357296,0.4521,1,0.648130746,0.580834913,0.526946108,0.50419478,0.387867685,0.413133205,0.602132605
0.498125081,8,9,"Alabama, Lowndes",1085,"-86.6516,32.1597",0.465137398,0.007283321,0.437436687,0.4954,0.5,0.648130746,0.662745686,0.473053892,0.577597632,0.642454273,0.623259439,0
0.569461008,8,8,"Alabama, Macon",1087,"-85.6927,32.3876",0.47986478,0.013452915,0.477377322,0.915,0.675,0.648130746,0.641454527,0.520958084,0.591894413,0.691903652,0.59416882,0.31197326
0.511099739,8,10,"Alabama, Madison",1089,"-86.5507,34.7633",0.485424519,0.012850604,0.675270664,0.3836,1,0.648130746,0.634667104,0.51497006,0.493912975,0.370959371,0.232022378,0.430453691
0.417761981,1,3,"Alabama, Marengo",1091,"-87.788,32.2477",0,0,0.524366252,0.4088,0.675,0.648130746,0.590192729,0.45508982,0.597857609,0.579660867,0.56219341,0.361466652
0.471386287,3,9,"Alabama, Marion",1093,"-87.887,34.137",0.297589933,0.002278646,0.534554558,0.4209,0.825,0.648130746,0.398602976,0.449101796,0.633558154,0.528437487,0.512589274,0.392678888
0.521253507,8,10,"Alabama, Marshall",1095,"-86.3049,34.3698",0.492400413,0.01016074,0.590328466,0.3149,1,0.648130746,0.44749687,0.526946108,0.553960836,0.435537062,0.536395369,0.451783944
0.593195855,5,6,"Alabama, Mobile",1097,"-88.2084,30.7847",0.616478092,0.039298407,0.670417054,0.723,1,0.648130746,0.68427605,0.467065868,0.519104441,0.457998203,0.488754838,0.390713105
0.522340552,8,9,"Alabama, Monroe",1099,"-87.37,31.5673",0.446655878,0.010422698,0.494053815,0.3728,0.675,0.648130746,0.730700086,0.443113772,0.597857609,0.611063895,0.644599189,0.380173485
0.562031563,8,6,"Alabama, Montgomery",1101,"-86.2097,32.2207",0.458653343,0.008902941,0.682423482,0.7463,1,0.648130746,0.634286586,0.532934132,0.491297583,0.461406888,0.483698007,0.387664574
0.500055456,3,9,"Alabama, Morgan",1103,"-86.8548,34.455",0.284458531,0.001765038,0.623332768,0.5775,1,0.648130746,0.601746039,0.51497006,0.551735804,0.399359899,0.414591163,0.414595744
0.445614819,3,3,"Alabama, Perry",1105,"-87.2977,32.6405",0,0,0.462997707,0.994,0.5,0.648130746,0.62436081,0.461077844,0.591894413,0.650165559,0.637558163,0
0.47610129,3,8,"Alabama, Pickens",1107,"-88.0882,33.2809",0.24597701,0.001286449,0.486494375,0.8163,0.5,0.648130746,0.566624363,0.449101796,0.587865273,0.467930872,0.594593442,0.437279002
0.561926416,3,8,"Alabama, Pike",1109,"-85.9408,31.804",0.393618098,0.005872757,0.552156656,0.9233,1,0.648130746,0.661787555,0.479041916,0.501650799,0.453437037,0.601131244,0.432925252
0.540137109,3,8,"Alabama, Randolph",1111,"-85.4571,33.2953",0.43129698,0.009593679,0.514202904,0.8157,0.75,0.648130746,0.561896008,0.479041916,0.618940916,0.484964706,0.487826023,0.6159427
