ToxPi Score,HClust Group,KMeans Group,FIPS,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.535049839,8,8,37001,"North Carolina, Alamance","-79.3998,36.0435",0.530309776,0.529199184,0.660293531,0.802,0.619238477,1,0.488080876,0.355769231,0.195,0.668473057,0.449101796,0.544979876,0.359091511,0.446081516
0.496897109,8,4,37003,"North Carolina, Alexander","-81.1775,35.9224",0.378530631,0.365594004,0.521980076,0.5696,0.687374749,1,0.53327494,0.597307692,0.1088,0.459372256,0.425149701,0.601780717,0.435883233,0.472898965
0.459435097,7,5,37005,"North Carolina, Alleghany","-81.1286,36.4936",0.518692663,0.540750145,0.515748452,0.1121,0.595190381,0.75,0.595652448,0.461538462,0,0.343853106,0.341317365,0.709484966,0.299460974,0.598023121
0.516952972,8,8,37007,"North Carolina, Anson","-80.0995,34.974",0.491957709,0.501032038,0.550797515,0.9682,0.820641283,0.675,0.48119742,0.230769231,0,0.714538086,0.431137725,0.56273046,0.539447039,0.620049702
0.499000094,8,6,37009,"North Carolina, Ashe","-81.4986,36.433",0.575175932,0.624579585,0.507544921,0.4218,0.643286573,1,0.511887132,0.461538462,0,0.245770867,0.329341317,0.686890666,0.345076905,0.481261818
0.550806823,9,3,37011,"North Carolina, Avery","-81.9231,36.0757",0.489574338,0.474972769,0.53802701,0.8071,0.627254509,1,0.50777146,0.961538462,0,0.447612847,0.329341317,0.638895121,0.369372384,0.526612344
0.547282145,10,3,37013,"North Carolina, Beaufort","-76.8433,35.4853",0.573764021,0.592609928,0.546353786,0.3996,0.618236473,0.75,0.484160338,0.884615385,0.06,0.659789948,0.371257485,0.669405114,0.42899529,0.516500134
0.458486328,3,1,37015,"North Carolina, Bertie","-76.9655,36.0688",0.155452157,0.169439595,0.48903403,0.923,0.689378758,0.575,0.51256441,0.778846154,0,0.704910594,0.365269461,0.63712461,0.582966527,0.649757635
0.615360734,2,9,37017,"North Carolina, Bladen","-78.5618,34.613",0.72133149,0.74138924,0.495176129,0.7555,0.776553106,0.75,0.56572769,0.567307692,0.17,0.78806121,0.419161677,0.618940916,0.562955017,0.635289232
0.468192405,9,7,37019,"North Carolina, Brunswick","-78.2281,34.0706",0.387383656,0.459213704,0.572871624,0.3419,0.556112224,1,0.58179882,0.576923077,0.04,0.55358672,0.377245509,0.761255236,0.322635766,0.291068242
0.518484333,9,7,37021,"North Carolina, Buncombe","-82.533,35.6111",0.365200325,0.432814085,0.681315259,0.8838,0.543086172,1,0.54077267,0.788461538,0.18,0.461451537,0.359281437,0.599824325,0.230376277,0.220210589
0.574266157,10,3,37023,"North Carolina, Burke","-81.7076,35.7499",0.497344801,0.497723615,0.60827451,0.7924,0.690380762,1,0.424623739,0.721153846,0.27,0.5244199,0.425149701,0.603726893,0.378177573,0.587188593
0.541760066,10,3,37025,"North Carolina, Cabarrus","-80.5527,35.3878",0.465191129,0.473585611,0.657738409,0.3633,0.659318637,1,0.461309851,0.769230769,0.29,0.594028663,0.479041916,0.452613368,0.338412871,0.243148304
0.545538538,10,3,37027,"North Carolina, Caldwell","-81.548,35.952",0.488967604,0.483835944,0.591303635,0.3693,0.686372745,1,0.497401917,0.730769231,0.2,0.458844345,0.413173653,0.597857609,0.47363444,0.558320821
0.521473451,8,3,37029,"North Carolina, Camden","-76.1557,36.338",0.561555887,0.647960631,0.493784524,0.0341,0.729458918,0.575,0.651465559,0.694711538,0.2238,0.528582338,0.323353293,0.560557324,0.299382906,0.391041464
