ToxPi Score,HClust Group,KMeans Group,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.575750793,7,1,"Alabama, Autauga","32.5395,-86.6441",0.682451292,0.644788464,0.575494546,0.3741,0.841365462,0.675,0.444448919,0.743119266,0.08,0.563653271,0.520958084,0.501650799,0.362432017,0.260554666
0.544879682,8,1,"Alabama, Baldwin","30.7277,-87.7221",0.533459625,0.544800216,0.59207546,0.3359,0.792168675,1,0.458757293,0.678899083,0.12,0.534157959,0.437125749,0.609505176,0.325043019,0.203905628
0.57844644,7,10,"Alabama, Barbour","31.8683,-85.3871",0.605306624,0.616163282,0.543279402,0.9889,0.847389558,0.575,0.450021092,0.550458716,0,0.67879397,0.508982036,0.579673914,0.556275822,0.656229309
0.541580745,7,3,"Alabama, Bibb","32.9964,-87.1251",0.582960901,0.563259487,0.498930922,0.7189,0.862449799,0.675,0.394386995,0.311926606,0.1838,0.563161735,0.491017964,0.542700409,0.49039775,0.531989399
0.491863532,7,9,"Alabama, Blount","33.9821,-86.5679",0.592816887,0.574381716,0.537340407,0.1741,0.883534137,0.75,0.433628102,0.19266055,0,0.350140876,0.520958084,0.575509717,0.479311875,0.446227699
0.514494569,7,3,"Alabama, Bullock","32.1003,-85.7127",0.566057352,0.541209368,0.403066648,0.765,0.75,0.325,0.451459668,0.440366972,0.0963,0.736129319,0.491017964,0.526341402,0.612118387,0.656935761
0.506241025,9,3,"Alabama, Butler","31.753,-86.6806",0.537303898,0.5296472,0.478257546,0.6259,0.840361446,0.675,0.45476739,0.247706422,0,0.619039345,0.45508982,0.599824325,0.637736455,0.550440119
0.601525466,8,6,"Alabama, Calhoun","33.7748,-85.8263",0.510885783,0.484495313,0.617999702,0.6492,0.798192771,0.825,0.486843412,0.71559633,0.42,0.581702062,0.526946108,0.553960836,0.543051996,0.527100793
0.542214302,10,2,"Alabama, Chambers","32.9136,-85.3907",0.509339863,0.509214799,0.503010222,0.7943,0.854417671,0.575,0.5152529,0.486238532,0.1188,0.588660752,0.502994012,0.597857609,0.55082444,0.482677145
0.457780981,9,5,"Alabama, Cherokee","34.1781,-85.6064",0.392338618,0.459377057,0.503473889,0.2741,0.837349398,0.675,0.479818678,0.330275229,0,0.451124735,0.502994012,0.649345108,0.466386832,0.460854275
