ToxPi Score,HClust Group,KMeans Group,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.590097099,2,10,"North Carolina, Alamance","36.0435,-79.3998",0.687252754,0.670893684,0.660293531,0.802,0.71184739,0.825,0.327262213,0.605504587,0.14,0.668473057,0.449101796,0.544979876,0.359091511,0.446081516
0.545999074,7,10,"North Carolina, Alexander","35.9224,-81.1775",0.620897301,0.598045273,0.521980076,0.5696,0.762048193,0.75,0.394925304,0.559633028,0.1187,0.459372256,0.425149701,0.601780717,0.435883233,0.472898965
0.466701509,7,8,"North Carolina, Alleghany","36.4936,-81.1286",0.701465045,0.708186683,0.515748452,0.1121,0.68373494,0.325,0.392787792,0.266055046,0,0.343853106,0.341317365,0.709484966,0.299460974,0.598023121
0.548322321,7,3,"North Carolina, Anson","34.974,-80.0995",0.662288977,0.65518936,0.550797515,0.9682,0.86746988,0.675,0.300576699,0.146788991,0,0.714538086,0.431137725,0.56273046,0.539447039,0.620049702
0.516042155,7,1,"North Carolina, Ashe","36.433,-81.4986",0.634985187,0.670801816,0.507544921,0.4218,0.719879518,0.575,0.437860768,0.623853211,0,0.245770867,0.329341317,0.686890666,0.345076905,0.481261818
0.575665992,2,10,"North Carolina, Avery","36.0757,-81.9231",0.697524953,0.66392219,0.53802701,0.8071,0.697791165,0.5,0.360807535,0.917431193,0,0.447612847,0.329341317,0.638895121,0.369372384,0.526612344
0.538901382,7,10,"North Carolina, Beaufort","35.4853,-76.8433",0.580011483,0.587533713,0.546353786,0.3996,0.672690763,0.575,0.316214941,0.770642202,0.17,0.659789948,0.371257485,0.669405114,0.42899529,0.516500134
0.522489063,7,3,"North Carolina, Bertie","36.0688,-76.9655",0.603540334,0.615627254,0.48903403,0.923,0.743975904,0.325,0.372291521,0.412844037,0,0.704910594,0.365269461,0.63712461,0.582966527,0.649757635
0.59043603,7,10,"North Carolina, Bladen","34.613,-78.5618",0.648333721,0.649034031,0.495176129,0.7555,0.821285141,0.675,0.409201018,0.678899083,0.05,0.78806121,0.419161677,0.618940916,0.562955017,0.635289232
0.49891013,7,1,"North Carolina, Brunswick","34.0706,-78.2281",0.590507582,0.65156421,0.572871624,0.3419,0.640562249,0.675,0.414234368,0.541284404,0,0.55358672,0.377245509,0.761255236,0.322635766,0.291068242
0.588537939,2,6,"North Carolina, Buncombe","35.6111,-82.533",0.632810605,0.687697754,0.681315259,0.8838,0.662650602,0.75,0.346951624,0.678899083,0.37,0.461451537,0.359281437,0.599824325,0.230376277,0.220210589
0.563529559,7,10,"North Carolina, Burke","35.7499,-81.7076",0.567539348,0.558207838,0.60827451,0.7924,0.747991968,0.675,0.300167648,0.76146789,0.09,0.5244199,0.425149701,0.603726893,0.378177573,0.587188593
0.613765399,7,4,"North Carolina, Cabarrus","35.3878,-80.5527",0.734670264,0.722061546,0.657738409,0.3633,0.798192771,1,0.313927397,0.76146789,0.22,0.594028663,0.479041916,0.452613368,0.338412871,0.243148304
0.532243513,7,1,"North Carolina, Caldwell","35.952,-81.548",0.584046452,0.568631897,0.591303635,0.3693,0.764056225,0.675,0.357309292,0.541284404,0.14,0.458844345,0.413173653,0.597857609,0.47363444,0.558320821
0.513115182,7,1,"North Carolina, Camden","36.338,-76.1557",0.599448841,0.670949024,0.493784524,0.0341,0.787148594,0.325,0.445987603,0.623853211,0.265,0.528582338,0.323353293,0.560557324,0.299382906,0.391041464
0.561802617,7,10,"North Carolina, Carteret","34.8933,-76.5412",0.641091925,0.684085497,0.60942483,0.5151,0.751004016,0.675,0.410936455,0.825688073,0,0.470250021,0.341317365,0.680626791,0.333988165,0.279359036
0.566162831,7,10,"North Carolina, Caswell","36.3931,-79.3335",0.594916211,0.603921147,0.491653662,0.8981,0.731927711,0.5,0.333419081,0.682385321,0.2725,0.649613944,0.431137725,0.622649322,0.304932952,0.523816814
0.591726525,7,6,"North Carolina, Catawba","35.6621,-81.2133",0.654062089,0.624572665,0.646093937,0.6616,0.75,0.825,0.398212031,0.669724771,0.23,0.508225096,0.449101796,0.560557324,0.324255678,0.436626828
0.499816354,7,1,"North Carolina, Chatham","35.7039,-79.2554",0.588139889,0.656118356,0.553961705,0.283,0.677710843,0.575,0.356698933,0.651376147,0,0.604580142,0.437125749,0.677454926,0.226800306,0.26927553
0.546039986,2,8,"North Carolina, Cherokee","35.1349,-84.0597",0.765283374,0.771748075,0.522797148,0.2884,0.736947791,0.575,0.386215735,0.559633028,0,0.430558423,0.359281437,0.748313248,0.364048684,0.535462678
0.556419759,7,10,"North Carolina, Chowan","36.1291,-76.6012",0.683081235,0.671759425,0.573845278,0.7173,0.722891566,0.575,0.355262843,0.587155963,0,0.608798624,0.335329341,0.677454926,0.47380648,0.548061943
0.497766604,7,1,"North Carolina, Clay","35.057,-83.7435",0.659792999,0.71677108,0.503002221,0.2044,0.807228916,0.325,0.290367738,0.546330275,0.0092,0.322458352,0.329341317,0.761255236,0.312732237,0.34232872
0.5928779,7,10,"North Carolina, Cleveland","35.3355,-81.552",0.663914743,0.637807282,0.614575378,0.7654,0.782128514,0.75,0.311384719,0.733944954,0.05,0.547032581,0.45508982,0.577597632,0.473544388,0.603203609
0.574892187,7,10,"North Carolina, Columbus","34.2674,-78.658",0.558495278,0.544728878,0.534423827,0.9007,0.776104418,0.575,0.384730919,0.779816514,0.05,0.796945994,0.401197605,0.603726893,0.593431098,0.607879903
0.547943061,7,10,"North Carolina, Craven","35.1183,-77.084",0.580798911,0.598845727,0.60839615,0.9054,0.692771084,0.675,0.368497347,0.605504587,0.08,0.599287144,0.383233533,0.579673914,0.382094819,0.425390205
0.640926065,2,4,"North Carolina, Cumberland","35.0476,-78.8262",0.709980563,0.72702568,0.67409872,0.8567,0.709839357,0.825,0.395683416,0.688073394,0.42,0.751289827,0.45508982,0.402847312,0.386938285,0.47104751
0.510172526,6,1,"North Carolina, Currituck","36.3612,-75.9588",0.537910503,0.626661067,0.553877277,0.0579,0.762048193,0.575,0.443099146,0.670825688,0.2406,0.478757005,0.329341317,0.523944662,0.269492888,0.28579377
0.484096037,8,1,"North Carolina, Dare","35.6652,-75.7177",0.566706683,0.650279247,0.597506986,0.1885,0.529116466,0.75,0.373526904,0.80733945,0,0.38258955,0.311377246,0.620799731,0.241311727,0.20349772
0.554233299,7,1,"North Carolina, Davidson","35.7912,-80.2126",0.659832984,0.659524264,0.62232362,0.5024,0.777108434,0.75,0.350057404,0.47706422,0.08,0.542247329,0.467065868,0.569174859,0.409587897,0.500676356
0.513812771,7,1,"North Carolina, Davie","35.931,-80.545",0.648836142,0.654531421,0.555782757,0.3356,0.715863454,0.675,0.366066755,0.376146789,0.1261,0.491872329,0.443113772,0.615195238,0.427315,0.332609037
0.590913567,7,10,"North Carolina, Duplin","34.9345,-77.9314",0.613195542,0.605009176,0.517932102,0.767,0.814257028,0.675,0.371679025,0.862385321,0,0.68486154,0.413173653,0.564890998,0.523939679,0.718792537
0.625137248,2,6,"North Carolina, Durham","36.0364,-78.8761",0.664317332,0.694902073,0.735304004,0.9019,0.649598394,0.675,0.317962567,0.788990826,0.5,0.682557769,0.45508982,0.431653286,0.194439122,0.333470272
0.653028804,2,4,"North Carolina, Edgecombe","35.9123,-77.5944",0.738714536,0.721103187,0.575985442,0.9089,0.78313253,0.575,0.312394705,0.880733945,0.3,0.710906546,0.431137725,0.587865273,0.532676104,0.613220503
0.608700846,2,6,"North Carolina, Forsyth","36.1286,-80.2546",0.666225356,0.671701224,0.714939053,0.7835,0.699799197,0.75,0.325818699,0.724770642,0.31,0.645319019,0.383233533,0.516660551,0.359114367,0.394470174
0.603230946,2,4,"North Carolina, Franklin","36.0815,-78.2871",0.779561575,0.767849133,0.557009508,0.6052,0.792168675,0.575,0.309145797,0.639908257,0.2363,0.651512503,0.45508982,0.538099217,0.359075053,0.406616961
0.642810283,2,6,"North Carolina, Gaston","35.2937,-81.1748",0.69027181,0.660188943,0.67607917,0.5661,0.790160643,1,0.34278681,0.733944954,0.46,0.570540073,0.473053892,0.526341402,0.329229415,0.460022714
0.50413142,9,1,"North Carolina, Gates","36.4467,-76.6975",0.577834107,0.646349415,0.438198631,0.1372,0.763052209,0.325,0.462697548,0.631926606,0.1562,0.624040296,0.347305389,0.601780717,0.500826148,0.356443957
0.495362983,7,1,"North Carolina, Graham","35.3507,-83.8337",0.536384201,0.595840618,0.501512433,0.3321,0.736947791,0.5,0.31727077,0.571743119,0.0724,0.471747938,0.323353293,0.675858813,0.402699313,0.650268974
0.520015999,3,8,"North Carolina, Granville","36.3034,-78.6518",0.685151065,0.681857812,0.562522145,0.517,0.708835341,0.575,0.283729876,0.449541284,0,0.661489719,0.449101796,0.540406913,0.364379531,0.403780615
0.592250607,7,10,"North Carolina, Greene","35.4854,-77.6758",0.63920858,0.624649777,0.521132105,0.9793,0.786144578,0.5,0.311686737,0.666238532,0.23,0.767033811,0.443113772,0.516660551,0.352950152,0.719185549
0.623277725,2,4,"North Carolina, Guilford","36.0796,-79.7882",0.702546073,0.714620177,0.70782549,0.7619,0.696787149,0.75,0.325018578,0.697247706,0.42,0.660419906,0.449101796,0.499089333,0.317897881,0.345697115
0.593123482,7,10,"North Carolina, Halifax","36.2567,-77.6556",0.690892647,0.671402328,0.548775668,0.8918,0.723895582,0.675,0.33896875,0.587155963,0.1,0.857758603,0.407185629,0.609505176,0.60451994,0.651327259
0.611801944,2,4,"North Carolina, Harnett","35.3673,-78.8724",0.694875431,0.712432428,0.587703169,0.5982,0.821285141,0.675,0.359472787,0.678899083,0.31,0.689866,0.473053892,0.422296515,0.3784054,0.52699821
0.513770871,7,1,"North Carolina, Haywood","35.5527,-82.982",0.612613909,0.664848901,0.603937659,0.1872,0.709839357,0.675,0.471682926,0.614678899,0.02,0.33615488,0.341317365,0.688440322,0.367655793,0.298896261
0.528267378,7,1,"North Carolina, Henderson","35.3379,-82.4767",0.641213781,0.659974458,0.636615447,0.4167,0.717871486,0.75,0.386215735,0.467889908,0.12,0.427712251,0.371257485,0.703592483,0.25272819,0.219671394
0.583686107,7,10,"North Carolina, Hertford","36.3608,-76.981",0.592835527,0.612070537,0.486942751,0.9828,0.84939759,0.575,0.385718552,0.724770642,0,0.762760247,0.365269461,0.595880459,0.586913311,0.647795483
0.537575797,7,3,"North Carolina, Hoke","35.0189,-79.2365",0.656293339,0.67720544,0.550438671,0.5129,0.869477912,0.575,0.385520311,0.321100917,0,0.892172763,0.443113772,0.325461822,0.423867259,0.622390938
0.512740193,3,10,"North Carolina, Hyde","35.4202,-76.1518",0.657109387,0.618227717,0.370042309,0.581,0.63253012,0.325,0.323604196,0.641192661,0.1357,0.652533796,0.28742515,0.544979876,0.451497198,0.708687473
0.563169017,7,4,"North Carolina, Iredell","35.8095,-80.8743",0.690565726,0.679087357,0.62495238,0.3069,0.768072289,0.825,0.380867259,0.633027523,0.11,0.530259439,0.473053892,0.516660551,0.323211148,0.271958546
0.525944231,7,2,"North Carolina, Jackson","35.2881,-83.1409",0.489208828,0.525920733,0.584544953,0.8733,0.689759036,0.675,0.426054346,0.577981651,0.14,0.631153062,0.323353293,0.597857609,0.302893609,0.457148944
0.586729357,7,4,"North Carolina, Johnston","35.5175,-78.3662",0.772483201,0.753838906,0.601467231,0.2401,0.775100402,0.75,0.345568554,0.605504587,0.23,0.607225172,0.443113772,0.449690281,0.353495378,0.40631212
0.566339855,7,10,"North Carolina, Jones","35.0225,-77.3587",0.641401954,0.661480648,0.497804376,0.6568,0.734939759,0.5,0.274526348,0.658990826,0.1788,0.67346424,0.389221557,0.64065726,0.60786902,0.676075614
0.599773653,7,6,"North Carolina, Lee","35.4762,-79.1757",0.630564144,0.634069816,0.621621693,0.6447,0.746987952,0.675,0.346673607,0.862385321,0.21,0.654169261,0.449101796,0.531089133,0.376241426,0.56239034
0.575148919,7,10,"North Carolina, Lenoir","35.2403,-77.6425",0.634279242,0.625336331,0.59608582,0.9672,0.746987952,0.675,0.274634045,0.403669725,0.25,0.661191602,0.437125749,0.601780717,0.466630384,0.638631709
0.551483416,7,1,"North Carolina, Lincoln","35.4851,-81.2174",0.70795728,0.676435114,0.596267268,0.1939,0.78815261,0.825,0.347860094,0.614678899,0.02,0.440243205,0.467065868,0.556172664,0.376729206,0.37361209
